destination,avg(b.distance/a.avgdelay)
75-130-96-12.static.oxfr.ma.charter.com,24.67353741240641
ebb.colgate.edu,22.481390037323475
node1.planetlab.mathcs.emory.edu,24.267444151793953
node2.planetlab.mathcs.emory.edu,23.894333715308047
pl1.cs.montana.edu,12.410941254811373
pl2.cs.unm.edu,10.007083018024288
pl3.cs.unm.edu,18.984104752213003
planet3.cc.gt.atl.ga.us,24.470539763358353
planetlab-01.vt.nodes.planet-lab.org,19.817705991428515
planetlab-04.vt.nodes.planet-lab.org,20.015108383965938
planetlab01.cs.washington.edu,28.633134274681336
planetlab02.cs.washington.edu,28.20966070835372
planetlab1.acis.ufl.edu,20.854852821671784
planetlab1.arizona-gigapop.net,25.48293891038862
planetlab1.cs.du.edu,23.752898802229282
planetlab1.cs.okstate.edu,22.55465270752707
planetlab1.cs.ucla.edu,21.831565523034712
planetlab1.cs.uml.edu,21.053656190598854
planetlab1.cs.unc.edu,18.53295261635751
planetlab1.temple.edu,25.550352962272292
planetlab1.ucsd.edu,25.98105561909968
planetlab1.unr.edu,25.922784832101726
planetlab2.acis.ufl.edu,20.47269474369549
planetlab2.arizona-gigapop.net,25.320202394130447
planetlab2.citadel.edu,19.88055943518575
planetlab2.cs.du.edu,23.058882083175202
planetlab2.cs.pitt.edu,22.20082766046819
planetlab2.cs.ucla.edu,20.69893078345963
planetlab2.cs.uoregon.edu,24.78651943687277
planetlab2.temple.edu,25.733280607477617
planetlab2.unl.edu,23.642060075655
planetlab2.unr.edu,24.950059460443285
planetlab2.uta.edu,23.801495708569067
planetlab3.cnds.jhu.edu,23.423697314064786
planetlab3.cs.uoregon.edu,25.22640241576928
planetlab3.eecs.umich.edu,25.060015660976543
planetlab3.ucsd.edu,25.784831536504594
planetlab3.wail.wisc.edu,18.643356945048318
planetlab4.cs.uoregon.edu,23.93684885689739
planetlab5.csee.usf.edu,24.895421821843573
planetlabone.ccs.neu.edu,25.983492284495902
planetlabtwo.ccs.neu.edu,26.402843201930096
salt.planetlab.cs.umd.edu,25.015152741892443
