46.5555555556,1152.6407312925,-2.7788481364,,
773.1111111111,398.0372879403,-0.9535026784,,
879.1111111111,,-0.6871959699,,2.8958109358
880.6111111111,,-0.6834274788,,
892.4444444444,,-0.6536982707,,
924.7777777778,,-0.5724663502,,
952.6666666667,,-0.5024003294,,
962.2222222222,,-0.478393645,,
965.2222222222,,-0.4708566627,,
985.2222222222,,-0.4206101139,,
986.5,,-0.4173999178,,
986.7777777778,,-0.416702049,,
988.3333333333,,-0.4127939841,,
1002.4444444445,,-0.3773422525,,
1030.3333333333,,-0.3072762317,,
1030.75,,-0.3062294286,,
1033.1111111111,,-0.3002975444,,
1048,,-0.2628917803,,
1052.25,,-0.2522143887,,
1054.2222222222,,-0.2472595207,,
1057.875,,-0.2380825468,,
1059.1111111111,,-0.234977031,,
1073.4444444445,,-0.1989670043,,
1076.8888888889,,-0.1903134321,,
1078.7777777778,,-0.1855679247,,
1079.7777777778,,-0.1830555972,,
1086.1111111111,,-0.1671441901,,
1094.6666666667,,-0.1456498331,,
1117,,-0.089541187,,
1132.1111111111,,-0.0515771279,,
1150,,-0.0066343815,,
1158.25,,0.0140923198,,
1165.2857142857,,0.0317683379,,
1179.6666666667,,0.0678979991,,
1261.2222222222,,0.2727922591,,
1340,,0.4707078318,,
1505.6666666667,,0.8869167441,,
1838.4444444445,,1.7229634862,,
1852.3333333333,,1.7578569229,,
2151,,2.5082053846,,
2228.1111111111,,2.7019337448,,
2250.5,,2.7581819647,,
