1,173.85,-0.70710713,,,,,,
7,244.4468143,-0.682561912,,,,,,
7,,-0.682561912,,,,,,
26,,-0.604835389,,,,,,
26.2,,-0.604017215,,,,,,0.711197651
29.05,,-0.592358236,,,,,,
29.1,,-0.592153693,,,,,,
32,,-0.580290171,,,,,,
32,,-0.580290171,,,,,,
34.3,,-0.57088117,,,,,,
35.3,,-0.566790301,,,,,,
35.9,,-0.564335779,,,,,,
42.6,,-0.536926952,,,,,,
47.1,,-0.518518039,,,,,,
48,,-0.514836256,,,,,,
58.9,,-0.470245776,,,,,,
59,,-0.469836689,,,,,,
62.2,,-0.456745907,,,,,,
71,,-0.420746253,,,,,,
72.15,,-0.416041753,,,,,,
72.4,,-0.415019036,,,,,,
72.6,,-0.414200862,,,,,,
76.8,,-0.397019209,,,,,,
76.9,,-0.396610122,,,,,,
83.5,,-0.369610383,,,,,,
84.6,,-0.365110426,,,,,,
94,,-0.326656251,,,,,,
94.22222222,,-0.325747169,,,,,,
95,,-0.322565381,,,,,,
95.1,,-0.322156294,,,,,,
95.33333333,,-0.321201758,,,,,,
96.8,,-0.315201816,,,,,,
97,,-0.314383642,,,,,,
97.2,,-0.313565468,,,,,,
98,,-0.310292772,,,,,,
100.75,,-0.299042881,,,,,,
103.4,,-0.288202076,,,,,,
103.4444444,,-0.28802026,,,,,,
122.7,,-0.209248292,,,,,,
163,,-0.044386244,,,,,,
202.3,,0.116384934,,,,,,
218.7777778,,0.183793376,,,,,,
346.7,,0.707106515,,,,,,
